Age;Sexe;NationaliteCod;Club_Cod;Club_Nom;Dept_Cod;Dept_Nom;Region_Code;Region_Nom;Saison;Categorie;SousCategorie;Discipline
="64";="M";="FRA";="4173009";="CHAMBERY CYCLISME FORMATION";="073";="CD SAVOIE";="41";="AUVERGNE-RHONE-ALPES";="2025";="Arbitre Club";="";="Route"
="58";="M";="FRA";="4173009";="CHAMBERY CYCLISME FORMATION";="073";="CD SAVOIE";="41";="AUVERGNE-RHONE-ALPES";="2025";="Encadrement";="Cadre Technique National";="Route"
="71";="M";="FRA";="4173009";="CHAMBERY CYCLISME FORMATION";="073";="CD SAVOIE";="41";="AUVERGNE-RHONE-ALPES";="2025";="Encadrement";="Dirigeant";="Route"
="59";="M";="FRA";="4173009";="CHAMBERY CYCLISME FORMATION";="073";="CD SAVOIE";="41";="AUVERGNE-RHONE-ALPES";="2025";="Encadrement";="Dirigeant";="Route"
="45";="M";="FRA";="4173009";="CHAMBERY CYCLISME FORMATION";="073";="CD SAVOIE";="41";="AUVERGNE-RHONE-ALPES";="2025";="Access";="1";="Route"
="47";="M";="FRA";="4173009";="CHAMBERY CYCLISME FORMATION";="073";="CD SAVOIE";="41";="AUVERGNE-RHONE-ALPES";="2025";="Encadrement";="Dirigeant";="Route"
="12";="M";="FRA";="4126275";="VELOXYROC DIEULEFIT";="026";="CD DRÔME";="41";="AUVERGNE-RHONE-ALPES";="2025";="U13";="";="VTT - Cross country"
="14";="M";="FRA";="4126275";="VELOXYROC DIEULEFIT";="026";="CD DRÔME";="41";="AUVERGNE-RHONE-ALPES";="2025";="U15";="";="VTT - Cross country"
="11";="M";="FRA";="4126275";="VELOXYROC DIEULEFIT";="026";="CD DRÔME";="41";="AUVERGNE-RHONE-ALPES";="2025";="U13";="";="VTT - Cross country"
="9";="M";="FRA";="4126275";="VELOXYROC DIEULEFIT";="026";="CD DRÔME";="41";="AUVERGNE-RHONE-ALPES";="2025";="U11";="";="VTT - Cross country"
="14";="M";="FRA";="4126275";="VELOXYROC DIEULEFIT";="026";="CD DRÔME";="41";="AUVERGNE-RHONE-ALPES";="2025";="U15";="";="VTT - Descente"
="14";="M";="FRA";="4126275";="VELOXYROC DIEULEFIT";="026";="CD DRÔME";="41";="AUVERGNE-RHONE-ALPES";="2025";="U15";="";="VTT - Cross country"
="7";="M";="FRA";="4126275";="VELOXYROC DIEULEFIT";="026";="CD DRÔME";="41";="AUVERGNE-RHONE-ALPES";="2025";="U9";="";="VTT - Cross country"
="15";="M";="FRA";="4126275";="VELOXYROC DIEULEFIT";="026";="CD DRÔME";="41";="AUVERGNE-RHONE-ALPES";="2025";="U17";="";="VTT - Cross country"
="41";="M";="FRA";="4126275";="VELOXYROC DIEULEFIT";="026";="CD DRÔME";="41";="AUVERGNE-RHONE-ALPES";="2025";="Loisir";="";="VTT - Cross country"
="32";="M";="FRA";="4126275";="VELOXYROC DIEULEFIT";="026";="CD DRÔME";="41";="AUVERGNE-RHONE-ALPES";="2025";="Loisir";="";="VTT - Cross country"
="12";="M";="FRA";="4126275";="VELOXYROC DIEULEFIT";="026";="CD DRÔME";="41";="AUVERGNE-RHONE-ALPES";="2025";="U13";="";="VTT - Cross country"
="11";="M";="FRA";="4126275";="VELOXYROC DIEULEFIT";="026";="CD DRÔME";="41";="AUVERGNE-RHONE-ALPES";="2025";="U13";="";="VTT - Cross country"
="12";="M";="FRA";="4126275";="VELOXYROC DIEULEFIT";="026";="CD DRÔME";="41";="AUVERGNE-RHONE-ALPES";="2025";="U13";="";="VTT - Cross country"
="11";="M";="FRA";="4126275";="VELOXYROC DIEULEFIT";="026";="CD DRÔME";="41";="AUVERGNE-RHONE-ALPES";="2025";="U13";="";="VTT - Cross country"
="33";="M";="FRA";="4126275";="VELOXYROC DIEULEFIT";="026";="CD DRÔME";="41";="AUVERGNE-RHONE-ALPES";="2025";="Loisir";="";="VTT - Cross country"
="8";="M";="FRA";="4126275";="VELOXYROC DIEULEFIT";="026";="CD DRÔME";="41";="AUVERGNE-RHONE-ALPES";="2025";="U9";="";="VTT - Cross country"
="12";="M";="FRA";="4126275";="VELOXYROC DIEULEFIT";="026";="CD DRÔME";="41";="AUVERGNE-RHONE-ALPES";="2025";="U13";="";="VTT - Cross country"
="51";="M";="FRA";="4126275";="VELOXYROC DIEULEFIT";="026";="CD DRÔME";="41";="AUVERGNE-RHONE-ALPES";="2025";="Open";="3";="VTT - Descente"
="13";="M";="FRA";="4126275";="VELOXYROC DIEULEFIT";="026";="CD DRÔME";="41";="AUVERGNE-RHONE-ALPES";="2025";="U15";="";="VTT - Cross country"
