UCI_ID;Age;Sexe;NationaliteCod;Club_Cod;Club_Nom;Dept_Cod;Dept_Nom;Region_Code;Region_Nom;Saison;Categorie;SousCategorie;Discipline
="10068101559";="64";="M";="FRA";="4173009";="CHAMBERY CYCLISME FORMATION";="073";="CD SAVOIE";="41";="AUVERGNE-RHONE-ALPES";="2025";="Arbitre Club";="";="Route"
="10077552894";="58";="M";="FRA";="4173009";="CHAMBERY CYCLISME FORMATION";="073";="CD SAVOIE";="41";="AUVERGNE-RHONE-ALPES";="2025";="Encadrement";="Cadre Technique National";="Route"
="10068098630";="71";="M";="FRA";="4173009";="CHAMBERY CYCLISME FORMATION";="073";="CD SAVOIE";="41";="AUVERGNE-RHONE-ALPES";="2025";="Encadrement";="Dirigeant";="Route"
="10000860755";="59";="M";="FRA";="4173009";="CHAMBERY CYCLISME FORMATION";="073";="CD SAVOIE";="41";="AUVERGNE-RHONE-ALPES";="2025";="Encadrement";="Dirigeant";="Route"
="10003608784";="45";="M";="FRA";="4173009";="CHAMBERY CYCLISME FORMATION";="073";="CD SAVOIE";="41";="AUVERGNE-RHONE-ALPES";="2025";="Access";="1";="Route"
="10068100044";="47";="M";="FRA";="4173009";="CHAMBERY CYCLISME FORMATION";="073";="CD SAVOIE";="41";="AUVERGNE-RHONE-ALPES";="2025";="Encadrement";="Dirigeant";="Route"
="10100794300";="12";="M";="FRA";="4126275";="VELOXYROC DIEULEFIT";="026";="CD DRÔME";="41";="AUVERGNE-RHONE-ALPES";="2025";="U13";="";="VTT - Cross country"
="10125169689";="11";="M";="FRA";="4126275";="VELOXYROC DIEULEFIT";="026";="CD DRÔME";="41";="AUVERGNE-RHONE-ALPES";="2025";="U13";="";="VTT - Cross country"
="10147108665";="9";="M";="FRA";="4126275";="VELOXYROC DIEULEFIT";="026";="CD DRÔME";="41";="AUVERGNE-RHONE-ALPES";="2025";="U11";="";="VTT - Cross country"
="10158427555";="14";="M";="FRA";="4126275";="VELOXYROC DIEULEFIT";="026";="CD DRÔME";="41";="AUVERGNE-RHONE-ALPES";="2025";="U15";="";="VTT - Descente"
="10125169285";="14";="M";="FRA";="4126275";="VELOXYROC DIEULEFIT";="026";="CD DRÔME";="41";="AUVERGNE-RHONE-ALPES";="2025";="U15";="";="VTT - Cross country"
="10158427858";="7";="M";="FRA";="4126275";="VELOXYROC DIEULEFIT";="026";="CD DRÔME";="41";="AUVERGNE-RHONE-ALPES";="2025";="U9";="";="VTT - Cross country"
="10069373774";="15";="M";="FRA";="4126275";="VELOXYROC DIEULEFIT";="026";="CD DRÔME";="41";="AUVERGNE-RHONE-ALPES";="2025";="U17";="";="VTT - Cross country"
="10158426949";="14";="M";="FRA";="4126275";="VELOXYROC DIEULEFIT";="026";="CD DRÔME";="41";="AUVERGNE-RHONE-ALPES";="2025";="U15";="";="VTT - Cross country"
="10158427353";="41";="M";="FRA";="4126275";="VELOXYROC DIEULEFIT";="026";="CD DRÔME";="41";="AUVERGNE-RHONE-ALPES";="2025";="Loisir";="";="VTT - Cross country"
="10121806217";="32";="M";="FRA";="4126275";="VELOXYROC DIEULEFIT";="026";="CD DRÔME";="41";="AUVERGNE-RHONE-ALPES";="2025";="Loisir";="";="VTT - Cross country"
="10086481443";="12";="M";="FRA";="4126275";="VELOXYROC DIEULEFIT";="026";="CD DRÔME";="41";="AUVERGNE-RHONE-ALPES";="2025";="U13";="";="VTT - Cross country"
="10158427050";="11";="M";="FRA";="4126275";="VELOXYROC DIEULEFIT";="026";="CD DRÔME";="41";="AUVERGNE-RHONE-ALPES";="2025";="U13";="";="VTT - Cross country"
